编号1,编号2,编号3,编号4,编号5,存储内容,count
B,4,5,3,1,郭丽珍样品,1
B,4,5,3,2,郭丽珍样品,1
B,4,5,3,3,郭丽珍样品,1
B,4,5,3,4,郭丽珍样品,1
B,4,5,3,5,郭丽珍样品,1
B,4,5,4,1,郭丽珍样品,1
B,4,5,4,2,郭丽珍样品,1
B,4,5,4,3,郭丽珍样品,1
B,4,5,4,4,郭丽珍样品,1
B,4,5,4,5,郭丽珍样品,1
B,4,5,5,1,郭丽珍样品,1
B,4,5,5,2,郭丽珍样品,1
B,4,5,5,3,郭丽珍样品,1
B,4,5,5,4,郭丽珍样品,1
B,4,5,5,5,郭丽珍样品,1
B,4,6,1,1,郭丽珍样品,1
B,4,6,1,2,郭丽珍样品,1
B,4,6,1,3,郭丽珍样品,1
B,4,6,1,4,郭丽珍样品,1
B,4,6,1,5,郭丽珍样品,1
B,4,6,2,1,郭丽珍样品,1
B,4,6,2,2,郭丽珍样品,1
B,4,6,2,3,郭丽珍样品,1
B,4,6,2,4,郭丽珍样品,1
B,4,6,2,5,郭丽珍样品,1
B,4,6,3,1,郭丽珍样品,1
B,4,6,3,2,郭丽珍样品,1
B,4,6,3,3,郭丽珍样品,1
B,4,6,3,4,郭丽珍样品,1
B,4,6,3,5,郭丽珍样品,1
B,4,6,4,1,郭丽珍样品,1
B,4,6,4,2,郭丽珍样品,1
B,4,6,4,3,郭丽珍样品,1
B,4,6,4,4,郭丽珍样品,1
B,4,6,4,5,郭丽珍样品,1
B,4,6,5,1,郭丽珍样品,1
B,4,6,5,2,郭丽珍样品,1
B,4,6,5,3,郭丽珍样品,1
B,4,6,5,4,郭丽珍样品,1
B,4,6,5,5,郭丽珍样品,1
